sitename,FeedURL,Category
開放特許情報DBの更新のデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/913.rss,科学
WIRED VISIONのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/1318.rss,科学
BBC News - Science & Environment,http://feeds.bbci.co.uk/news/science_and_environment/rss.xml,科学
アストロアーツ,http://www.astroarts.co.jp/rss/update-j.xml,科学
シルバー産業新聞ウェブサイト『ケアニュース』,http://www.care-news.jp/atom.xml,医療系
内科開業医のお勉強日記,http://kaigyoi.blogspot.com/feeds/posts/default?alt=rss,医療系
メディカルオンライン 海外ジャーナルレビュー,http://www.medicalonline.jp/rss/newjournal.atom,医療系
医療介護 CBnews,https://www.cbnews.jp/rss/news.xml,医療系
◇◇　保険デイリーニュース　◇◇（損保担当者必携！）,http://www.yanaharu.com/ins/?feed=rss2,金融
金融総合：経済レポート一覧のデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/921.rss,金融
生命保険協会,http://www.seiho.or.jp/info/feed/rss.xml,金融
ニッセイ基礎研究所,https://www.nli-research.co.jp/rss/?data_format=xml&site=nli,金融
日本銀行：RSSのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/9761.rss,金融
レポート｜日本総研のデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/919.rss,金融
金融資本市場分析 | 大和総研グループ,https://www.dir.co.jp/feed/capital-mkt.atom,金融
JPX マーケットニュースのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/918.rss,金融
finAsol,http://www.fina-sol.com/feed,金融
金融庁ホームページのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/915.rss,金融
RSS FILE - 日本証券業協会のデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/917.rss,金融
QUICK Money World - マーケット・金融・投資のデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/927.rss,金融
Yahoo!保険 - 保険通信,https://insurance.yahoo.co.jp/column/rss/index.xml,金融
みずほ総合研究所 | RSS【調査リポート】,http://rss.mizuho-ri.co.jp/rss?site=M5MSJU2K&item=2,金融
日本損害保険協会,http://www.sonpo.or.jp/rss/,金融
ニュース - 保険市場TIMES,https://www.hokende.com/news/blog/feed/category/%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B9,金融
生命保険おすすめ比較ニュースアンテナ waiwainews,http://seiho.waiwainews.net/feed,金融
article ? The Finance,https://thefinance.jp/tag/article/feed,金融
ニュース＆トピックス : 全銀協,https://www.zenginkyo.or.jp/news/rss/,金融
Japan Times latest articlesのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/16528.rss,ニュース
みんなの経済新聞のデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/912.rss,ニュース
スラド,https://srad.jp/sradjp.rss,ニュース
YOMIURI ONLINE（読売新聞）主要ニュースのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/4097.rss,ニュース
国際ニュース - CNN.co.jpのデイリーフィード - DailyFeed,http://feeds.dailyfeed.jp/feed/s/5/720.rss,ニュース
MSN産経ニュース - 注目のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/913.rss,ニュース
ジェトロ ビジネスニュース（通商弘報）のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5050.rss,ニュース
くらべる一面 ： 新ｓ あらたにす（日経・朝日・読売）のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5127.rss,ニュース
Reuters: ワールドのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5851.rss,ニュース
@日本経済新聞 電子版,http://feed.exileed.com/twitter/feed/nikkei,ニュース
NIKKEI NET：主要のデイリーフィード - DailyFeed,http://feeds.dailyfeed.jp/feed/370.rss,ニュース
BITPRESS（ビットプレス）のデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/926.rss,ニュース
asahi.comのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/211.rss,ニュース
ニュース速報（総合）のデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/925.rss,ニュース
ニュース速報(総合) - 毎日ｊｐ(毎日新聞)のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/440.rss,ニュース
日刊工業新聞社　BusinessLineのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/7/431.rss,ニュース
Reuters: ビジネスのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5850.rss,ニュース
BBC News - Home,http://feeds.bbci.co.uk/news/rss.xml,ニュース
がらくたGallery,http://garakuta.oops.jp/wordpress/?feed=rss2,ニュース
日経ビジネス電子版　最新記事,https://business.nikkei.com/rss/all_nb.rdf,詳細記事
ダイヤモンド・オンライン - 新着記事,http://diamond.jp/list/feed/rss/dol,詳細記事
Japan ニュース,http://www.huffingtonpost.com/feeds/verticals/japan/news.xml,詳細記事
ロイター: テクノロジー,http://feeds.reuters.com/reuters/JPTechnologyNews,詳細記事
Newsweek 最新記事のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5852.rss,ビジネス
電通報 | 広告業界動向とマーケティングのコラム・ニュース,https://dentsu-ho.com/dentsu-ho.rss,ビジネス
経済産業省のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/7076.rss,ビジネス
マイナビニュース ビジネス,https://news.mynavi.jp/rss/business/biz.xml,ビジネス
PRESIDENT Online：「仕事人×生活人」のための問題解決塾のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/13960.rss,ビジネス
ダイヤモンド・オンライン - 新着記事のデイリーフィード - DailyFeed,http://feeds.dailyfeed.jp/feed/s/13/218.rss,ビジネス
MarkeZineのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/1260.rss,ビジネス
nikkei BPnet 最新記事一覧のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/1243.rss,ビジネス
東洋経済オンライン｜新世代リーダーのためのビジネスサイトのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/15889.rss,ビジネス
NBonline（日経ビジネス オンライン）：経営分野のデイリーフィード - DailyFeed,http://feeds.dailyfeed.jp/feed/781.rss,ビジネス
nikkei BPnet 「建設」最新記事一覧のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5063.rss,ビジネス
東洋経済オンライン｜新世代リーダーのためのビジネスサイトのデイリーフィード - DailyFeed,http://feeds.dailyfeed.jp/feed/s/15/889.rss,ビジネス
ビズ部,http://kigyou-no1.com/feed,ビジネス
不景気.com,http://www.fukeiki.com/atom.xml,ビジネス
帝国データバンク 大型倒産速報,http://www.tdb.co.jp/rss/jouhou.rdf,ビジネス
ライフハッカー［日本版］,http://feeds.lifehacker.jp/rss/lifehacker/index.xml,LifeHuck
札幌経済新聞のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5067.rss,北海道
北海道発・北海道ポータルサイト「なまら北海道」のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5082.rss,北海道
北海道新聞のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/912.rss,北海道
北海道の公式ホームページのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5066.rss,北海道
新着情報／ 京都市情報館のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5064.rss,関西
烏丸経済新聞,https://karasuma.keizai.biz/rss.xml,関西
京都府ホームページ 新着情報のデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/910.rss,関西
京都大学のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5065.rss,関西
ラーブロ,http://feeds2.feedburner.com/rablo,サブカルネタ
話題の画像　-　ついっぷるトレンド,https://tr.twipple.jp/rss/gazou.xml,サブカルネタ
京都おいないグルメ道,http://kotoyuujin.com/feed/,サブカルネタ
TED,http://www.youtube.com/feeds/videos.xml?channel_id=UCAuUUnT6oDeKwE6v1NGQxug,YouTube Channels
google,http://www.youtube.com/feeds/videos.xml?channel_id=UCK8sQmJBp8GCxrOtXWBpyEA,YouTube Channels
